Question,Input,Question Mark,Final Input,Nicotine Amount,Tar Amount,Final Answer
What is the nicotine level of ,Benson & Hedges Classic, ?,What is the nicotine level of Benson & Hedges Classic ?,1.03,12.4,The nicotine and tar levels of Benson & Hedges Classicare as follows: nicotine: 1.03mg and tar: 12.4mg
What is the nicotine level of ,Benson & Hedges Rich, ?,What is the nicotine level of Benson & Hedges Rich ?,0.88,9.1,The nicotine and tar levels of Benson & Hedges Richare as follows: nicotine: 0.88mg and tar: 9.1mg
What is the nicotine level of ,Benson & Hedges Smooth, ?,What is the nicotine level of Benson & Hedges Smooth ?,0.67,7,The nicotine and tar levels of Benson & Hedges Smoothare as follows: nicotine: 0.67mg and tar: 7mg
What is the nicotine level of ,Benson & Hedges Subtle, ?,What is the nicotine level of Benson & Hedges Subtle ?,0.52,4.9,The nicotine and tar levels of Benson & Hedges Subtleare as follows: nicotine: 0.52mg and tar: 4.9mg
What is the nicotine level of ,Benson & Hedges Fine, ?,What is the nicotine level of Benson & Hedges Fine ?,0.3,3,The nicotine and tar levels of Benson & Hedges Fineare as follows: nicotine: 0.3mg and tar: 3mg
What is the nicotine level of ,Benson & Hedges Ultimate, ?,What is the nicotine level of Benson & Hedges Ultimate ?,0.05,0.8,The nicotine and tar levels of Benson & Hedges Ultimateare as follows: nicotine: 0.05mg and tar: 0.8mg
What is the nicotine level of ,Cambridge Full Flavour, ?,What is the nicotine level of Cambridge Full Flavour ?,0.68,6.9,The nicotine and tar levels of Cambridge Full Flavourare as follows: nicotine: 0.68mg and tar: 6.9mg
What is the nicotine level of ,Craven A Gold, ?,What is the nicotine level of Craven A Gold ?,0.81,8.7,The nicotine and tar levels of Craven A Goldare as follows: nicotine: 0.81mg and tar: 8.7mg
What is the nicotine level of ,Craven A Filter, ?,What is the nicotine level of Craven A Filter ?,1.12,13.1,The nicotine and tar levels of Craven A Filterare as follows: nicotine: 1.12mg and tar: 13.1mg
What is the nicotine level of ,Dunhill Top Leaf, ?,What is the nicotine level of Dunhill Top Leaf ?,1,9.1,The nicotine and tar levels of Dunhill Top Leafare as follows: nicotine: 1mg and tar: 9.1mg
What is the nicotine level of ,Dunhill Fine Cut Navy, ?,What is the nicotine level of Dunhill Fine Cut Navy ?,0.7,7.2,The nicotine and tar levels of Dunhill Fine Cut Navyare as follows: nicotine: 0.7mg and tar: 7.2mg
What is the nicotine level of ,Dunhill Fine Cut White, ?,What is the nicotine level of Dunhill Fine Cut White ?,0.3,3.1,The nicotine and tar levels of Dunhill Fine Cut Whiteare as follows: nicotine: 0.3mg and tar: 3.1mg
What is the nicotine level of ,Dunhill International Red, ?,What is the nicotine level of Dunhill International Red ?,1,11.3,The nicotine and tar levels of Dunhill International Redare as follows: nicotine: 1mg and tar: 11.3mg
What is the nicotine level of ,Dunhill International Blue, ?,What is the nicotine level of Dunhill International Blue ?,0.7,7.1,The nicotine and tar levels of Dunhill International Blueare as follows: nicotine: 0.7mg and tar: 7.1mg
What is the nicotine level of ,Dunhill International Menthol, ?,What is the nicotine level of Dunhill International Menthol ?,0.8,9.1,The nicotine and tar levels of Dunhill International Mentholare as follows: nicotine: 0.8mg and tar: 9.1mg
What is the nicotine level of ,Dunhill Essence Red, ?,What is the nicotine level of Dunhill Essence Red ?,0.9,7.2,The nicotine and tar levels of Dunhill Essence Redare as follows: nicotine: 0.9mg and tar: 7.2mg
What is the nicotine level of ,Dunhill Essence Gold, ?,What is the nicotine level of Dunhill Essence Gold ?,0.7,6.2,The nicotine and tar levels of Dunhill Essence Goldare as follows: nicotine: 0.7mg and tar: 6.2mg
What is the nicotine level of ,Dunhill Premier, ?,What is the nicotine level of Dunhill Premier ?,0.88,9.5,The nicotine and tar levels of Dunhill Premierare as follows: nicotine: 0.88mg and tar: 9.5mg
What is the nicotine level of ,Dunhill Distinct, ?,What is the nicotine level of Dunhill Distinct ?,0.74,7,The nicotine and tar levels of Dunhill Distinctare as follows: nicotine: 0.74mg and tar: 7mg
What is the nicotine level of ,Dunhill Refined, ?,What is the nicotine level of Dunhill Refined ?,0.34,3.2,The nicotine and tar levels of Dunhill Refinedare as follows: nicotine: 0.34mg and tar: 3.2mg
What is the nicotine level of ,Dunhill Infinite, ?,What is the nicotine level of Dunhill Infinite ?,0.09,0.6,The nicotine and tar levels of Dunhill Infiniteare as follows: nicotine: 0.09mg and tar: 0.6mg
What is the nicotine level of ,Dunhill Chilled Menthol, ?,What is the nicotine level of Dunhill Chilled Menthol ?,0.62,7.2,The nicotine and tar levels of Dunhill Chilled Mentholare as follows: nicotine: 0.62mg and tar: 7.2mg
What is the nicotine level of ,Dunhill Frosted Menthol, ?,What is the nicotine level of Dunhill Frosted Menthol ?,0.33,3.7,The nicotine and tar levels of Dunhill Frosted Mentholare as follows: nicotine: 0.33mg and tar: 3.7mg
What is the nicotine level of ,Holiday Kings Blue, ?,What is the nicotine level of Holiday Kings Blue ?,0.77,9.1,The nicotine and tar levels of Holiday Kings Blueare as follows: nicotine: 0.77mg and tar: 9.1mg
What is the nicotine level of ,Holiday Kings Gold, ?,What is the nicotine level of Holiday Kings Gold ?,0.67,7.4,The nicotine and tar levels of Holiday Kings Goldare as follows: nicotine: 0.67mg and tar: 7.4mg
What is the nicotine level of ,Holiday Kings Sky Blue, ?,What is the nicotine level of Holiday Kings Sky Blue ?,0.48,5.5,The nicotine and tar levels of Holiday Kings Sky Blueare as follows: nicotine: 0.48mg and tar: 5.5mg
What is the nicotine level of ,Holiday Kings Grey, ?,What is the nicotine level of Holiday Kings Grey ?,0.34,3.3,The nicotine and tar levels of Holiday Kings Greyare as follows: nicotine: 0.34mg and tar: 3.3mg
What is the nicotine level of ,Holiday Kings Purple, ?,What is the nicotine level of Holiday Kings Purple ?,0.17,1.7,The nicotine and tar levels of Holiday Kings Purpleare as follows: nicotine: 0.17mg and tar: 1.7mg
What is the nicotine level of ,Holiday Kings Green Menthol, ?,What is the nicotine level of Holiday Kings Green Menthol ?,0.53,6.2,The nicotine and tar levels of Holiday Kings Green Mentholare as follows: nicotine: 0.53mg and tar: 6.2mg
What is the nicotine level of ,Holiday Slims Red, ?,What is the nicotine level of Holiday Slims Red ?,0.83,10.1,The nicotine and tar levels of Holiday Slims Redare as follows: nicotine: 0.83mg and tar: 10.1mg
What is the nicotine level of ,Holiday Slims Blue, ?,What is the nicotine level of Holiday Slims Blue ?,0.74,8.8,The nicotine and tar levels of Holiday Slims Blueare as follows: nicotine: 0.74mg and tar: 8.8mg
What is the nicotine level of ,Holiday Slims Amber, ?,What is the nicotine level of Holiday Slims Amber ?,0.58,6.7,The nicotine and tar levels of Holiday Slims Amberare as follows: nicotine: 0.58mg and tar: 6.7mg
What is the nicotine level of ,Holiday Slims Silver, ?,What is the nicotine level of Holiday Slims Silver ?,0.3,3.1,The nicotine and tar levels of Holiday Slims Silverare as follows: nicotine: 0.3mg and tar: 3.1mg
What is the nicotine level of ,Holiday Slims Purple, ?,What is the nicotine level of Holiday Slims Purple ?,0.2,2,The nicotine and tar levels of Holiday Slims Purpleare as follows: nicotine: 0.2mg and tar: 2mg
What is the nicotine level of ,Holiday Slims Green Menthol, ?,What is the nicotine level of Holiday Slims Green Menthol ?,0.58,7,The nicotine and tar levels of Holiday Slims Green Mentholare as follows: nicotine: 0.58mg and tar: 7mg
What is the nicotine level of ,Kent Blue, ?,What is the nicotine level of Kent Blue ?,0.6,6.8,The nicotine and tar levels of Kent Blueare as follows: nicotine: 0.6mg and tar: 6.8mg
What is the nicotine level of ,Kent Silver, ?,What is the nicotine level of Kent Silver ?,0.4,4.6,The nicotine and tar levels of Kent Silverare as follows: nicotine: 0.4mg and tar: 4.6mg
What is the nicotine level of ,Kent Gold, ?,What is the nicotine level of Kent Gold ?,0.1,1.2,The nicotine and tar levels of Kent Goldare as follows: nicotine: 0.1mg and tar: 1.2mg
What is the nicotine level of ,Kool Menthol, ?,What is the nicotine level of Kool Menthol ?,0.71,8.6,The nicotine and tar levels of Kool Mentholare as follows: nicotine: 0.71mg and tar: 8.6mg
What is the nicotine level of ,Lucky Strike Original Red, ?,What is the nicotine level of Lucky Strike Original Red ?,0.8,9.5,The nicotine and tar levels of Lucky Strike Original Redare as follows: nicotine: 0.8mg and tar: 9.5mg
What is the nicotine level of ,Lucky Strike Original Silver, ?,What is the nicotine level of Lucky Strike Original Silver ?,0.5,5.1,The nicotine and tar levels of Lucky Strike Original Silverare as follows: nicotine: 0.5mg and tar: 5.1mg
What is the nicotine level of ,Pall Mall Red, ?,What is the nicotine level of Pall Mall Red ?,1.05,11.6,The nicotine and tar levels of Pall Mall Redare as follows: nicotine: 1.05mg and tar: 11.6mg
What is the nicotine level of ,Pall Mall Blue, ?,What is the nicotine level of Pall Mall Blue ?,0.85,8.4,The nicotine and tar levels of Pall Mall Blueare as follows: nicotine: 0.85mg and tar: 8.4mg
What is the nicotine level of ,Pall Mall Amber, ?,What is the nicotine level of Pall Mall Amber ?,0.49,4.9,The nicotine and tar levels of Pall Mall Amberare as follows: nicotine: 0.49mg and tar: 4.9mg
What is the nicotine level of ,Pall Mall Green Menthol, ?,What is the nicotine level of Pall Mall Green Menthol ?,0.59,7.4,The nicotine and tar levels of Pall Mall Green Mentholare as follows: nicotine: 0.59mg and tar: 7.4mg
What is the nicotine level of ,Pall Mall Slims Red, ?,What is the nicotine level of Pall Mall Slims Red ?,0.83,10.1,The nicotine and tar levels of Pall Mall Slims Redare as follows: nicotine: 0.83mg and tar: 10.1mg
What is the nicotine level of ,Pall Mall Slims Blue, ?,What is the nicotine level of Pall Mall Slims Blue ?,0.74,8.8,The nicotine and tar levels of Pall Mall Slims Blueare as follows: nicotine: 0.74mg and tar: 8.8mg
What is the nicotine level of ,Pall Mall Slims Amber, ?,What is the nicotine level of Pall Mall Slims Amber ?,0.58,6.7,The nicotine and tar levels of Pall Mall Slims Amberare as follows: nicotine: 0.58mg and tar: 6.7mg
What is the nicotine level of ,Pall Mall Slims Silver, ?,What is the nicotine level of Pall Mall Slims Silver ?,0.3,3.1,The nicotine and tar levels of Pall Mall Slims Silverare as follows: nicotine: 0.3mg and tar: 3.1mg
What is the nicotine level of ,Pall Mall Slims Purple, ?,What is the nicotine level of Pall Mall Slims Purple ?,0.2,2,The nicotine and tar levels of Pall Mall Slims Purpleare as follows: nicotine: 0.2mg and tar: 2mg
What is the nicotine level of ,Pall Mall Slims Green Menthol, ?,What is the nicotine level of Pall Mall Slims Green Menthol ?,0.58,7,The nicotine and tar levels of Pall Mall Slims Green Mentholare as follows: nicotine: 0.58mg and tar: 7mg
What is the nicotine level of ,Rothmans King Size Filter, ?,What is the nicotine level of Rothmans King Size Filter ?,1.06,11.7,The nicotine and tar levels of Rothmans King Size Filterare as follows: nicotine: 1.06mg and tar: 11.7mg
What is the nicotine level of ,St Moritz Dunhill International Menthol, ?,What is the nicotine level of St Moritz Dunhill International Menthol ?,0.8,9.1,The nicotine and tar levels of St Moritz Dunhill International Mentholare as follows: nicotine: 0.8mg and tar: 9.1mg
What is the nicotine level of ,St Moritz Dunhill Chilled Menthol, ?,What is the nicotine level of St Moritz Dunhill Chilled Menthol ?,0.62,7.2,The nicotine and tar levels of St Moritz Dunhill Chilled Mentholare as follows: nicotine: 0.62mg and tar: 7.2mg
What is the nicotine level of ,St Moritz Dunhill Frosted Menthol, ?,What is the nicotine level of St Moritz Dunhill Frosted Menthol ?,0.33,3.7,The nicotine and tar levels of St Moritz Dunhill Frosted Mentholare as follows: nicotine: 0.33mg and tar: 3.7mg
What is the nicotine level of ,St Moritz Green Menthol, ?,What is the nicotine level of St Moritz Green Menthol ?,0.65,7.6,The nicotine and tar levels of St Moritz Green Mentholare as follows: nicotine: 0.65mg and tar: 7.6mg
What is the nicotine level of ,St Moritz White Menthol, ?,What is the nicotine level of St Moritz White Menthol ?,0.31,3.4,The nicotine and tar levels of St Moritz White Mentholare as follows: nicotine: 0.31mg and tar: 3.4mg
What is the nicotine level of ,State Express 555 Filter, ?,What is the nicotine level of State Express 555 Filter ?,1.1,10.8,The nicotine and tar levels of State Express 555 Filterare as follows: nicotine: 1.1mg and tar: 10.8mg
What is the nicotine level of ,Stradbroke Red, ?,What is the nicotine level of Stradbroke Red ?,0.9,11.7,The nicotine and tar levels of Stradbroke Redare as follows: nicotine: 0.9mg and tar: 11.7mg
What is the nicotine level of ,Stradbroke Orange, ?,What is the nicotine level of Stradbroke Orange ?,0.84,9.4,The nicotine and tar levels of Stradbroke Orangeare as follows: nicotine: 0.84mg and tar: 9.4mg
What is the nicotine level of ,Stradbroke Blue, ?,What is the nicotine level of Stradbroke Blue ?,0.66,7.1,The nicotine and tar levels of Stradbroke Blueare as follows: nicotine: 0.66mg and tar: 7.1mg
What is the nicotine level of ,Stradbroke Grey, ?,What is the nicotine level of Stradbroke Grey ?,0.32,2.9,The nicotine and tar levels of Stradbroke Greyare as follows: nicotine: 0.32mg and tar: 2.9mg
What is the nicotine level of ,Stradbroke Yellow, ?,What is the nicotine level of Stradbroke Yellow ?,0.2,1.7,The nicotine and tar levels of Stradbroke Yelloware as follows: nicotine: 0.2mg and tar: 1.7mg
What is the nicotine level of ,Stradbroke Menthol, ?,What is the nicotine level of Stradbroke Menthol ?,0.49,5.5,The nicotine and tar levels of Stradbroke Mentholare as follows: nicotine: 0.49mg and tar: 5.5mg
What is the nicotine level of ,Stradbroke Cool Menthol, ?,What is the nicotine level of Stradbroke Cool Menthol ?,0.27,2.8,The nicotine and tar levels of Stradbroke Cool Mentholare as follows: nicotine: 0.27mg and tar: 2.8mg
What is the nicotine level of ,Stradbroke Ultimate Menthol, ?,What is the nicotine level of Stradbroke Ultimate Menthol ?,0.16,1.8,The nicotine and tar levels of Stradbroke Ultimate Mentholare as follows: nicotine: 0.16mg and tar: 1.8mg
What is the nicotine level of ,Vougue Superslim Bleue, ?,What is the nicotine level of Vougue Superslim Bleue ?,0.6,6.2,The nicotine and tar levels of Vougue Superslim Bleueare as follows: nicotine: 0.6mg and tar: 6.2mg
What is the nicotine level of ,Vougue Superslim Menthe Menthol, ?,What is the nicotine level of Vougue Superslim Menthe Menthol ?,0.6,6.3,The nicotine and tar levels of Vougue Superslim Menthe Mentholare as follows: nicotine: 0.6mg and tar: 6.3mg
What is the nicotine level of ,Wills Smooth Flavour, ?,What is the nicotine level of Wills Smooth Flavour ?,0.61,6.5,The nicotine and tar levels of Wills Smooth Flavourare as follows: nicotine: 0.61mg and tar: 6.5mg
What is the nicotine level of ,Wills Fine Flavour, ?,What is the nicotine level of Wills Fine Flavour ?,0.35,3.3,The nicotine and tar levels of Wills Fine Flavourare as follows: nicotine: 0.35mg and tar: 3.3mg
What is the nicotine level of ,Winfield Red, ?,What is the nicotine level of Winfield Red ?,1.08,12.1,The nicotine and tar levels of Winfield Redare as follows: nicotine: 1.08mg and tar: 12.1mg
What is the nicotine level of ,Winfield Blue, ?,What is the nicotine level of Winfield Blue ?,0.86,9.1,The nicotine and tar levels of Winfield Blueare as follows: nicotine: 0.86mg and tar: 9.1mg
What is the nicotine level of ,Winfield Gold, ?,What is the nicotine level of Winfield Gold ?,0.73,7.3,The nicotine and tar levels of Winfield Goldare as follows: nicotine: 0.73mg and tar: 7.3mg
What is the nicotine level of ,Winfield Sky Blue, ?,What is the nicotine level of Winfield Sky Blue ?,0.49,4.8,The nicotine and tar levels of Winfield Sky Blueare as follows: nicotine: 0.49mg and tar: 4.8mg
What is the nicotine level of ,Winfield Grey, ?,What is the nicotine level of Winfield Grey ?,0.29,2.7,The nicotine and tar levels of Winfield Greyare as follows: nicotine: 0.29mg and tar: 2.7mg
What is the nicotine level of ,Winfield White, ?,What is the nicotine level of Winfield White ?,0.17,1.7,The nicotine and tar levels of Winfield Whiteare as follows: nicotine: 0.17mg and tar: 1.7mg
What is the nicotine level of ,Winfield Ultimate, ?,What is the nicotine level of Winfield Ultimate ?,0.07,0.8,The nicotine and tar levels of Winfield Ultimateare as follows: nicotine: 0.07mg and tar: 0.8mg
What is the nicotine level of ,Winfield Charcoal Blue, ?,What is the nicotine level of Winfield Charcoal Blue ?,1,9.9,The nicotine and tar levels of Winfield Charcoal Blueare as follows: nicotine: 1mg and tar: 9.9mg
What is the nicotine level of ,Winfield Charcoal Gold, ?,What is the nicotine level of Winfield Charcoal Gold ?,0.7,7.2,The nicotine and tar levels of Winfield Charcoal Goldare as follows: nicotine: 0.7mg and tar: 7.2mg
What is the nicotine level of ,Winfield Charcoal Sky Blue, ?,What is the nicotine level of Winfield Charcoal Sky Blue ?,0.5,4.5,The nicotine and tar levels of Winfield Charcoal Sky Blueare as follows: nicotine: 0.5mg and tar: 4.5mg
What is the nicotine level of ,Winfield Charcoal White, ?,What is the nicotine level of Winfield Charcoal White ?,0.2,1.9,The nicotine and tar levels of Winfield Charcoal Whiteare as follows: nicotine: 0.2mg and tar: 1.9mg
What is the nicotine level of ,Winfield Menthol, ?,What is the nicotine level of Winfield Menthol ?,0.59,7,The nicotine and tar levels of Winfield Mentholare as follows: nicotine: 0.59mg and tar: 7mg
What is the nicotine level of ,Winfield Cool Menthol, ?,What is the nicotine level of Winfield Cool Menthol ?,0.3,3.1,The nicotine and tar levels of Winfield Cool Mentholare as follows: nicotine: 0.3mg and tar: 3.1mg
What is the nicotine level of ,Alpine Filter Menthol King-Size Hard Pack 25's, ?,What is the nicotine level of Alpine Filter Menthol King-Size Hard Pack 25's ?,1.02,14.1,The nicotine and tar levels of Alpine Filter Menthol King-Size Hard Pack 25'sare as follows: nicotine: 1.02mg and tar: 14.1mg
What is the nicotine level of ,Alpine Rich Flavour Menthol King-Size Hard Pack 25's, ?,What is the nicotine level of Alpine Rich Flavour Menthol King-Size Hard Pack 25's ?,0.7,8.3,The nicotine and tar levels of Alpine Rich Flavour Menthol King-Size Hard Pack 25'sare as follows: nicotine: 0.7mg and tar: 8.3mg
What is the nicotine level of ,Alpine Original Flavour Menthol King-Size Hard Pack 25's, ?,What is the nicotine level of Alpine Original Flavour Menthol King-Size Hard Pack 25's ?,0.87,10.6,The nicotine and tar levels of Alpine Original Flavour Menthol King-Size Hard Pack 25'sare as follows: nicotine: 0.87mg and tar: 10.6mg
What is the nicotine level of ,Alpine Supreme Flavour Menthold King-Size Hard Pack 25's, ?,What is the nicotine level of Alpine Supreme Flavour Menthold King-Size Hard Pack 25's ?,0.09,0.9,The nicotine and tar levels of Alpine Supreme Flavour Menthold King-Size Hard Pack 25'sare as follows: nicotine: 0.09mg and tar: 0.9mg
What is the nicotine level of ,Alpine Fine Flavour Menthol King-Size Hard Pack 25's, ?,What is the nicotine level of Alpine Fine Flavour Menthol King-Size Hard Pack 25's ?,0.3,3.5,The nicotine and tar levels of Alpine Fine Flavour Menthol King-Size Hard Pack 25'sare as follows: nicotine: 0.3mg and tar: 3.5mg
What is the nicotine level of ,Alpine Finesse Flavour Menthol King-Size Hard Pack 25's, ?,What is the nicotine level of Alpine Finesse Flavour Menthol King-Size Hard Pack 25's ?,0.13,1.5,The nicotine and tar levels of Alpine Finesse Flavour Menthol King-Size Hard Pack 25'sare as follows: nicotine: 0.13mg and tar: 1.5mg
