Question,Input,Question Mark,Final Input,Nicotine Amount,Tar Amount,Final Answer
What is the nicotine level of ,Alpine Gold Cut King-Size Hard Pack 25's, ?,What is the nicotine level of Alpine Gold Cut King-Size Hard Pack 25's ?,0.67,7.3,The nicotine and tar levels of Alpine Gold Cut King-Size Hard Pack 25'sare as follows: nicotine: 0.67mg and tar: 7.3mg
What is the nicotine level of ,Choice Fine Flavour King-Size Hard Pack 25's, ?,What is the nicotine level of Choice Fine Flavour King-Size Hard Pack 25's ?,0.43,4.1,The nicotine and tar levels of Choice Fine Flavour King-Size Hard Pack 25'sare as follows: nicotine: 0.43mg and tar: 4.1mg
What is the nicotine level of ,Choice Original Flavour King-Size Hard Pack 25's, ?,What is the nicotine level of Choice Original Flavour King-Size Hard Pack 25's ?,0.98,10.3,The nicotine and tar levels of Choice Original Flavour King-Size Hard Pack 25'sare as follows: nicotine: 0.98mg and tar: 10.3mg
What is the nicotine level of ,Choice Rich Flavour King-Size Hard Pack 25's, ?,What is the nicotine level of Choice Rich Flavour King-Size Hard Pack 25's ?,0.71,7.4,The nicotine and tar levels of Choice Rich Flavour King-Size Hard Pack 25'sare as follows: nicotine: 0.71mg and tar: 7.4mg
What is the nicotine level of ,GT Blue King-Size Hard Pack, ?,What is the nicotine level of GT Blue King-Size Hard Pack ?,1.09,10.7,The nicotine and tar levels of GT Blue King-Size Hard Packare as follows: nicotine: 1.09mg and tar: 10.7mg
What is the nicotine level of ,GT Red King-Size Hard Pack, ?,What is the nicotine level of GT Red King-Size Hard Pack ?,1.12,11.5,The nicotine and tar levels of GT Red King-Size Hard Packare as follows: nicotine: 1.12mg and tar: 11.5mg
What is the nicotine level of ,GT Gold King-Size Hard Pack, ?,What is the nicotine level of GT Gold King-Size Hard Pack ?,0.72,7.1,The nicotine and tar levels of GT Gold King-Size Hard Packare as follows: nicotine: 0.72mg and tar: 7.1mg
What is the nicotine level of ,Longbeach Menthol King-Size Hard Pack 20's/30's/40's, ?,What is the nicotine level of Longbeach Menthol King-Size Hard Pack 20's/30's/40's ?,0.76,7.5,The nicotine and tar levels of Longbeach Menthol King-Size Hard Pack 20's/30's/40'sare as follows: nicotine: 0.76mg and tar: 7.5mg
What is the nicotine level of ,Longbeach Filter King-Size Hard Pack 30's/40's, ?,What is the nicotine level of Longbeach Filter King-Size Hard Pack 30's/40's ?,1.18,12.4,The nicotine and tar levels of Longbeach Filter King-Size Hard Pack 30's/40'sare as follows: nicotine: 1.18mg and tar: 12.4mg
What is the nicotine level of ,Longbeach Fresh Menthol King-Size Hard Pack 30's/40's, ?,What is the nicotine level of Longbeach Fresh Menthol King-Size Hard Pack 30's/40's ?,0.21,1.8,The nicotine and tar levels of Longbeach Fresh Menthol King-Size Hard Pack 30's/40'sare as follows: nicotine: 0.21mg and tar: 1.8mg
What is the nicotine level of ,Longbeach Original Flavour King-Size Hard Pack 20's/30's/40's, ?,What is the nicotine level of Longbeach Original Flavour King-Size Hard Pack 20's/30's/40's ?,1,10.2,The nicotine and tar levels of Longbeach Original Flavour King-Size Hard Pack 20's/30's/40'sare as follows: nicotine: 1mg and tar: 10.2mg
What is the nicotine level of ,Longbeach Select King-Size Hard Pack 30's/40's, ?,What is the nicotine level of Longbeach Select King-Size Hard Pack 30's/40's ?,0.14,1.15,The nicotine and tar levels of Longbeach Select King-Size Hard Pack 30's/40'sare as follows: nicotine: 0.14mg and tar: 1.15mg
What is the nicotine level of ,Longbeach Smooth Flavourt King-Size Hard Pack 40's, ?,What is the nicotine level of Longbeach Smooth Flavourt King-Size Hard Pack 40's ?,0.68,5.3,The nicotine and tar levels of Longbeach Smooth Flavourt King-Size Hard Pack 40'sare as follows: nicotine: 0.68mg and tar: 5.3mg
What is the nicotine level of ,Longbeach Rich Flavour King-Size Hard Pack 20's/30's/40's, ?,What is the nicotine level of Longbeach Rich Flavour King-Size Hard Pack 20's/30's/40's ?,0.74,7.4,The nicotine and tar levels of Longbeach Rich Flavour King-Size Hard Pack 20's/30's/40'sare as follows: nicotine: 0.74mg and tar: 7.4mg
What is the nicotine level of ,Longbeach Finesse King-Size Hard Pack 30's/40's, ?,What is the nicotine level of Longbeach Finesse King-Size Hard Pack 30's/40's ?,0.19,1.6,The nicotine and tar levels of Longbeach Finesse King-Size Hard Pack 30's/40'sare as follows: nicotine: 0.19mg and tar: 1.6mg
What is the nicotine level of ,Longbeach Fine Flavour King-Size Hard Pack 20's/30's/40's, ?,What is the nicotine level of Longbeach Fine Flavour King-Size Hard Pack 20's/30's/40's ?,0.43,3.7,The nicotine and tar levels of Longbeach Fine Flavour King-Size Hard Pack 20's/30's/40'sare as follows: nicotine: 0.43mg and tar: 3.7mg
What is the nicotine level of ,Marlboro (red pack) King-Size Soft Pack 20's, ?,What is the nicotine level of Marlboro (red pack) King-Size Soft Pack 20's ?,1.07,11.7,The nicotine and tar levels of Marlboro (red pack) King-Size Soft Pack 20'sare as follows: nicotine: 1.07mg and tar: 11.7mg
What is the nicotine level of ,Marlboro (red pack) King-Size Hard Pack 20's/25's, ?,What is the nicotine level of Marlboro (red pack) King-Size Hard Pack 20's/25's ?,1.07,11.7,The nicotine and tar levels of Marlboro (red pack) King-Size Hard Pack 20's/25'sare as follows: nicotine: 1.07mg and tar: 11.7mg
What is the nicotine level of ,Marlboro Menthol King-Size Hard Pack 20's, ?,What is the nicotine level of Marlboro Menthol King-Size Hard Pack 20's ?,0.4,4.7,The nicotine and tar levels of Marlboro Menthol King-Size Hard Pack 20'sare as follows: nicotine: 0.4mg and tar: 4.7mg
What is the nicotine level of ,Marlboro (gold pack) King-Size Soft Pack 20's, ?,What is the nicotine level of Marlboro (gold pack) King-Size Soft Pack 20's ?,0.72,7.6,The nicotine and tar levels of Marlboro (gold pack) King-Size Soft Pack 20'sare as follows: nicotine: 0.72mg and tar: 7.6mg
What is the nicotine level of ,Marlboro (gold pack) King-Size Hard Pack 20's/25's, ?,What is the nicotine level of Marlboro (gold pack) King-Size Hard Pack 20's/25's ?,0.72,7.6,The nicotine and tar levels of Marlboro (gold pack) King-Size Hard Pack 20's/25'sare as follows: nicotine: 0.72mg and tar: 7.6mg
What is the nicotine level of ,Peter Jackson Menthol King-Size Hard Pack 25's/30's, ?,What is the nicotine level of Peter Jackson Menthol King-Size Hard Pack 25's/30's ?,0.75,7.4,The nicotine and tar levels of Peter Jackson Menthol King-Size Hard Pack 25's/30'sare as follows: nicotine: 0.75mg and tar: 7.4mg
What is the nicotine level of ,Peter Jackson Original Flavour King-Size Hard Pack 20's/25's/30's, ?,What is the nicotine level of Peter Jackson Original Flavour King-Size Hard Pack 20's/25's/30's ?,1.11,11,The nicotine and tar levels of Peter Jackson Original Flavour King-Size Hard Pack 20's/25's/30'sare as follows: nicotine: 1.11mg and tar: 11mg
What is the nicotine level of ,Peter Jackson Select Blend Fine Flavour King-Size Hard Pack 25's, ?,What is the nicotine level of Peter Jackson Select Blend Fine Flavour King-Size Hard Pack 25's ?,0.33,2.7,The nicotine and tar levels of Peter Jackson Select Blend Fine Flavour King-Size Hard Pack 25'sare as follows: nicotine: 0.33mg and tar: 2.7mg
What is the nicotine level of ,Peter Jackson Select Blend Full Flavour King-Size Hard Pack 25's, ?,What is the nicotine level of Peter Jackson Select Blend Full Flavour King-Size Hard Pack 25's ?,0.84,8.2,The nicotine and tar levels of Peter Jackson Select Blend Full Flavour King-Size Hard Pack 25'sare as follows: nicotine: 0.84mg and tar: 8.2mg
What is the nicotine level of ,Peter Jackson Select Blend Rich Flavour King-Size Hard Pack 25's, ?,What is the nicotine level of Peter Jackson Select Blend Rich Flavour King-Size Hard Pack 25's ?,1.15,11.6,The nicotine and tar levels of Peter Jackson Select Blend Rich Flavour King-Size Hard Pack 25'sare as follows: nicotine: 1.15mg and tar: 11.6mg
What is the nicotine level of ,Peter Jackson Select Blend Smooth Flavour King-Size Hard Pack 25's, ?,What is the nicotine level of Peter Jackson Select Blend Smooth Flavour King-Size Hard Pack 25's ?,0.55,5.2,The nicotine and tar levels of Peter Jackson Select Blend Smooth Flavour King-Size Hard Pack 25'sare as follows: nicotine: 0.55mg and tar: 5.2mg
What is the nicotine level of ,Peter Jackson Supreme Flavour King-Size Hard Pack 20's/25's/30's, ?,What is the nicotine level of Peter Jackson Supreme Flavour King-Size Hard Pack 20's/25's/30's ?,0.13,1.2,The nicotine and tar levels of Peter Jackson Supreme Flavour King-Size Hard Pack 20's/25's/30'sare as follows: nicotine: 0.13mg and tar: 1.2mg
What is the nicotine level of ,Peter Jackson Smooth Flavour King-Size Hard Pack 25's/30's, ?,What is the nicotine level of Peter Jackson Smooth Flavour King-Size Hard Pack 25's/30's ?,0.71,5.7,The nicotine and tar levels of Peter Jackson Smooth Flavour King-Size Hard Pack 25's/30'sare as follows: nicotine: 0.71mg and tar: 5.7mg
What is the nicotine level of ,Peter Jackson Rich Flavour King-Size Hard Pack 20's/25's/30's, ?,What is the nicotine level of Peter Jackson Rich Flavour King-Size Hard Pack 20's/25's/30's ?,0.81,7.7,The nicotine and tar levels of Peter Jackson Rich Flavour King-Size Hard Pack 20's/25's/30'sare as follows: nicotine: 0.81mg and tar: 7.7mg
What is the nicotine level of ,Peter Jackson Finesse King-Size Hard Pack 30's, ?,What is the nicotine level of Peter Jackson Finesse King-Size Hard Pack 30's ?,0.21,1.8,The nicotine and tar levels of Peter Jackson Finesse King-Size Hard Pack 30'sare as follows: nicotine: 0.21mg and tar: 1.8mg
What is the nicotine level of ,Peter Jackson Fine Flavour King-Size Hard Pack 20's/25's/30's, ?,What is the nicotine level of Peter Jackson Fine Flavour King-Size Hard Pack 20's/25's/30's ?,0.42,3.7,The nicotine and tar levels of Peter Jackson Fine Flavour King-Size Hard Pack 20's/25's/30'sare as follows: nicotine: 0.42mg and tar: 3.7mg
What is the nicotine level of ,Peter Jackson Virginia King-Size Hard Pack 20's/25's/30's, ?,What is the nicotine level of Peter Jackson Virginia King-Size Hard Pack 20's/25's/30's ?,1.23,12.8,The nicotine and tar levels of Peter Jackson Virginia King-Size Hard Pack 20's/25's/30'sare as follows: nicotine: 1.23mg and tar: 12.8mg
What is the nicotine level of ,Brandon Silver, ?,What is the nicotine level of Brandon Silver ?,0.4,4,The nicotine and tar levels of Brandon Silverare as follows: nicotine: 0.4mg and tar: 4mg
What is the nicotine level of ,Brandon Blue, ?,What is the nicotine level of Brandon Blue ?,0.8,8,The nicotine and tar levels of Brandon Blueare as follows: nicotine: 0.8mg and tar: 8mg
What is the nicotine level of ,Brandon Menthol, ?,What is the nicotine level of Brandon Menthol ?,0.8,8,The nicotine and tar levels of Brandon Mentholare as follows: nicotine: 0.8mg and tar: 8mg
What is the nicotine level of ,Brandon Red, ?,What is the nicotine level of Brandon Red ?,1.2,12,The nicotine and tar levels of Brandon Redare as follows: nicotine: 1.2mg and tar: 12mg
What is the nicotine level of ,Brandon Maroon, ?,What is the nicotine level of Brandon Maroon ?,1.2,16,The nicotine and tar levels of Brandon Maroonare as follows: nicotine: 1.2mg and tar: 16mg
What is the nicotine level of ,Escort Ultimate, ?,What is the nicotine level of Escort Ultimate ?,0.2,1,The nicotine and tar levels of Escort Ultimateare as follows: nicotine: 0.2mg and tar: 1mg
What is the nicotine level of ,Escort Yellow, ?,What is the nicotine level of Escort Yellow ?,0.3,2,The nicotine and tar levels of Escort Yelloware as follows: nicotine: 0.3mg and tar: 2mg
What is the nicotine level of ,Escort Sky Blue, ?,What is the nicotine level of Escort Sky Blue ?,0.4,4,The nicotine and tar levels of Escort Sky Blueare as follows: nicotine: 0.4mg and tar: 4mg
What is the nicotine level of ,Escort Gold, ?,What is the nicotine level of Escort Gold ?,0.6,6,The nicotine and tar levels of Escort Goldare as follows: nicotine: 0.6mg and tar: 6mg
What is the nicotine level of ,Escort Blue, ?,What is the nicotine level of Escort Blue ?,0.8,8,The nicotine and tar levels of Escort Blueare as follows: nicotine: 0.8mg and tar: 8mg
What is the nicotine level of ,Escort Menthol, ?,What is the nicotine level of Escort Menthol ?,0.8,8,The nicotine and tar levels of Escort Mentholare as follows: nicotine: 0.8mg and tar: 8mg
What is the nicotine level of ,Escort Virginia, ?,What is the nicotine level of Escort Virginia ?,1.2,12,The nicotine and tar levels of Escort Virginiaare as follows: nicotine: 1.2mg and tar: 12mg
What is the nicotine level of ,Escort Premium Ice Blue, ?,What is the nicotine level of Escort Premium Ice Blue ?,0.4,4,The nicotine and tar levels of Escort Premium Ice Blueare as follows: nicotine: 0.4mg and tar: 4mg
What is the nicotine level of ,Escort Premium Steel Blue, ?,What is the nicotine level of Escort Premium Steel Blue ?,0.8,8,The nicotine and tar levels of Escort Premium Steel Blueare as follows: nicotine: 0.8mg and tar: 8mg
What is the nicotine level of ,Escort Premium Metallic Red, ?,What is the nicotine level of Escort Premium Metallic Red ?,1.2,12,The nicotine and tar levels of Escort Premium Metallic Redare as follows: nicotine: 1.2mg and tar: 12mg
What is the nicotine level of ,Horizon Menthol White, ?,What is the nicotine level of Horizon Menthol White ?,0.2,1,The nicotine and tar levels of Horizon Menthol Whiteare as follows: nicotine: 0.2mg and tar: 1mg
What is the nicotine level of ,Horizon White, ?,What is the nicotine level of Horizon White ?,0.2,1,The nicotine and tar levels of Horizon Whiteare as follows: nicotine: 0.2mg and tar: 1mg
What is the nicotine level of ,Horizon Menthol Yellow, ?,What is the nicotine level of Horizon Menthol Yellow ?,0.3,2,The nicotine and tar levels of Horizon Menthol Yelloware as follows: nicotine: 0.3mg and tar: 2mg
What is the nicotine level of ,Horizon Yellow, ?,What is the nicotine level of Horizon Yellow ?,0.3,2,The nicotine and tar levels of Horizon Yelloware as follows: nicotine: 0.3mg and tar: 2mg
What is the nicotine level of ,Horizon Orange, ?,What is the nicotine level of Horizon Orange ?,0.4,4,The nicotine and tar levels of Horizon Orangeare as follows: nicotine: 0.4mg and tar: 4mg
What is the nicotine level of ,Horizon Sky Blue, ?,What is the nicotine level of Horizon Sky Blue ?,0.6,6,The nicotine and tar levels of Horizon Sky Blueare as follows: nicotine: 0.6mg and tar: 6mg
What is the nicotine level of ,Horizon Blue, ?,What is the nicotine level of Horizon Blue ?,0.8,8,The nicotine and tar levels of Horizon Blueare as follows: nicotine: 0.8mg and tar: 8mg
What is the nicotine level of ,Horizon Menthol Blue, ?,What is the nicotine level of Horizon Menthol Blue ?,0.8,8,The nicotine and tar levels of Horizon Menthol Blueare as follows: nicotine: 0.8mg and tar: 8mg
What is the nicotine level of ,Horizon Menthol Purple, ?,What is the nicotine level of Horizon Menthol Purple ?,1.2,12,The nicotine and tar levels of Horizon Menthol Purpleare as follows: nicotine: 1.2mg and tar: 12mg
What is the nicotine level of ,Horizon Menthol Red, ?,What is the nicotine level of Horizon Menthol Red ?,1.2,16,The nicotine and tar levels of Horizon Menthol Redare as follows: nicotine: 1.2mg and tar: 16mg
What is the nicotine level of ,John Player Ultimate, ?,What is the nicotine level of John Player Ultimate ?,0.3,2,The nicotine and tar levels of John Player Ultimateare as follows: nicotine: 0.3mg and tar: 2mg
What is the nicotine level of ,John Player Gold, ?,What is the nicotine level of John Player Gold ?,0.8,8,The nicotine and tar levels of John Player Goldare as follows: nicotine: 0.8mg and tar: 8mg
What is the nicotine level of ,John Player Rich Blue, ?,What is the nicotine level of John Player Rich Blue ?,1.2,12,The nicotine and tar levels of John Player Rich Blueare as follows: nicotine: 1.2mg and tar: 12mg
What is the nicotine level of ,John Player Virgina Red, ?,What is the nicotine level of John Player Virgina Red ?,1.2,16,The nicotine and tar levels of John Player Virgina Redare as follows: nicotine: 1.2mg and tar: 16mg
What is the nicotine level of ,Peter Stuyvesant Fine, ?,What is the nicotine level of Peter Stuyvesant Fine ?,0.4,4,The nicotine and tar levels of Peter Stuyvesant Fineare as follows: nicotine: 0.4mg and tar: 4mg
What is the nicotine level of ,Peter Stuyvesant Fine (soft pack), ?,What is the nicotine level of Peter Stuyvesant Fine (soft pack) ?,0.4,4,The nicotine and tar levels of Peter Stuyvesant Fine (soft pack)are as follows: nicotine: 0.4mg and tar: 4mg
What is the nicotine level of ,Peter Stuyvesant Classic, ?,What is the nicotine level of Peter Stuyvesant Classic ?,0.8,8,The nicotine and tar levels of Peter Stuyvesant Classicare as follows: nicotine: 0.8mg and tar: 8mg
What is the nicotine level of ,Peter Stuyvesant Classic (soft pack), ?,What is the nicotine level of Peter Stuyvesant Classic (soft pack) ?,0.8,8,The nicotine and tar levels of Peter Stuyvesant Classic (soft pack)are as follows: nicotine: 0.8mg and tar: 8mg
What is the nicotine level of ,Peter Stuyvesant Filter, ?,What is the nicotine level of Peter Stuyvesant Filter ?,1.2,12,The nicotine and tar levels of Peter Stuyvesant Filterare as follows: nicotine: 1.2mg and tar: 12mg
What is the nicotine level of ,Peter Stuyvesant Filter (soft pack), ?,What is the nicotine level of Peter Stuyvesant Filter (soft pack) ?,1.2,12,The nicotine and tar levels of Peter Stuyvesant Filter (soft pack)are as follows: nicotine: 1.2mg and tar: 12mg
What is the nicotine level of ,Superking Sky Blue, ?,What is the nicotine level of Superking Sky Blue ?,0.6,6,The nicotine and tar levels of Superking Sky Blueare as follows: nicotine: 0.6mg and tar: 6mg
What is the nicotine level of ,Superking Rich Blue, ?,What is the nicotine level of Superking Rich Blue ?,0.8,8,The nicotine and tar levels of Superking Rich Blueare as follows: nicotine: 0.8mg and tar: 8mg
What is the nicotine level of ,Superking Menthol, ?,What is the nicotine level of Superking Menthol ?,0.8,8,The nicotine and tar levels of Superking Mentholare as follows: nicotine: 0.8mg and tar: 8mg
What is the nicotine level of ,Superking Virginia, ?,What is the nicotine level of Superking Virginia ?,1.2,12,The nicotine and tar levels of Superking Virginiaare as follows: nicotine: 1.2mg and tar: 12mg
What is the nicotine level of ,Camer Silver, ?,What is the nicotine level of Camer Silver ?,0.4,4,The nicotine and tar levels of Camer Silverare as follows: nicotine: 0.4mg and tar: 4mg
What is the nicotine level of ,Camel Blue, ?,What is the nicotine level of Camel Blue ?,0.8,8,The nicotine and tar levels of Camel Blueare as follows: nicotine: 0.8mg and tar: 8mg
What is the nicotine level of ,Camel Regular, ?,What is the nicotine level of Camel Regular ?,1.2,12,The nicotine and tar levels of Camel Regularare as follows: nicotine: 1.2mg and tar: 12mg
What is the nicotine level of ,Camel Filter, ?,What is the nicotine level of Camel Filter ?,1.2,12,The nicotine and tar levels of Camel Filterare as follows: nicotine: 1.2mg and tar: 12mg
What is the nicotine level of ,More International Mentol, ?,What is the nicotine level of More International Mentol ?,0.8,8,The nicotine and tar levels of More International Mentolare as follows: nicotine: 0.8mg and tar: 8mg
What is the nicotine level of ,More International Filter, ?,What is the nicotine level of More International Filter ?,1.2,12,The nicotine and tar levels of More International Filterare as follows: nicotine: 1.2mg and tar: 12mg
What is the nicotine level of ,Davidoff Gold, ?,What is the nicotine level of Davidoff Gold ?,0.8,8,The nicotine and tar levels of Davidoff Goldare as follows: nicotine: 0.8mg and tar: 8mg
What is the nicotine level of ,Davidoff Gold Slims, ?,What is the nicotine level of Davidoff Gold Slims ?,0.8,8,The nicotine and tar levels of Davidoff Gold Slimsare as follows: nicotine: 0.8mg and tar: 8mg
What is the nicotine level of ,Davidoff Classic, ?,What is the nicotine level of Davidoff Classic ?,1.2,12,The nicotine and tar levels of Davidoff Classicare as follows: nicotine: 1.2mg and tar: 12mg
What is the nicotine level of ,Davidoff Classic Slims, ?,What is the nicotine level of Davidoff Classic Slims ?,1.2,12,The nicotine and tar levels of Davidoff Classic Slimsare as follows: nicotine: 1.2mg and tar: 12mg